ticker,ym,month_end,revenue
2465,2025-06,2025-06-01,299296000
2465,2025-05,2025-05-01,313034000
2465,2025-04,2025-04-01,341205000
2465,2025-03,2025-03-01,210023000
2465,2025-02,2025-02-01,269109000
2465,2025-01,2025-01-01,938899000
2465,2024-12,2024-12-01,340838000
2465,2024-11,2024-11-01,348625000
2465,2024-10,2024-10-01,325865000
2465,2024-09,2024-09-01,427360000
2465,2024-08,2024-08-01,255025000
2465,2024-07,2024-07-01,211274000
2465,2024-06,2024-06-01,260814000
2465,2024-05,2024-05-01,247293000
2465,2024-04,2024-04-01,383428000
2465,2024-03,2024-03-01,223093000
2465,2024-02,2024-02-01,333294000
2465,2024-01,2024-01-01,591964000
2465,2023-12,2023-12-01,710103000
2465,2023-11,2023-11-01,419757000
2465,2023-10,2023-10-01,442025000
3034,2026-09,2026-09-01,10327444000
3034,2026-08,2026-08-01,10296332000
3034,2026-07,2026-07-01,10022596000
3034,2026-06,2026-06-01,9412486000
3034,2026-05,2026-05-01,9225016000
3034,2026-04,2026-04-01,8468607000
3034,2026-03,2026-03-01,7059376000
3034,2026-02,2026-02-01,7617321000
3034,2026-01,2026-01-01,7319722000
3034,2025-12,2025-12-01,7618617000
3034,2025-11,2025-11-01,7878870000
3034,2025-10,2025-10-01,8278299000
3034,2025-09,2025-09-01,8174953000
3034,2025-08,2025-08-01,8120418000
3034,2025-07,2025-07-01,8425263000
3034,2025-06,2025-06-01,8607337000
3034,2025-05,2025-05-01,9119463000
3034,2025-04,2025-04-01,9372100000
3034,2025-03,2025-03-01,9267233000
3034,2025-02,2025-02-01,8480869000
3034,2025-01,2025-01-01,8527147000
3034,2024-12,2024-12-01,8212667000
3034,2024-11,2024-11-01,8522705000
3034,2024-10,2024-10-01,8918212000
3034,2024-09,2024-09-01,9680155000
3034,2024-08,2024-08-01,9267960000
3034,2024-07,2024-07-01,8463250000
3034,2024-06,2024-06-01,8438693000
3034,2024-05,2024-05-01,8329076000
3034,2024-04,2024-04-01,8575205000
3034,2024-03,2024-03-01,7132911000
3034,2024-02,2024-02-01,8719770000
3034,2024-01,2024-01-01,8679433000
3034,2023-12,2023-12-01,8948713000
3034,2023-11,2023-11-01,9525678000
3034,2023-10,2023-10-01,9560688000
3081,2026-09,2026-09-01,520469000
3081,2026-08,2026-08-01,501210000
3081,2026-07,2026-07-01,420507000
3081,2026-06,2026-06-01,405322000
3081,2026-05,2026-05-01,395349000
3081,2026-04,2026-04-01,343319000
3081,2026-03,2026-03-01,290300000
3081,2026-02,2026-02-01,270770000
3081,2026-01,2026-01-01,230664000
3081,2025-12,2025-12-01,210280000
